Times (us),interval (us),strain (raw),sensorValue0 (raw)
13111928,12500,2284502,290
13124428,12500,2282071,290
13136928,12500,2283910,290
13149428,12500,2284772,290
13161928,12500,2283371,290
13174428,12500,2282394,290
13186928,12500,2283352,290
13199428,12500,2284364,290
13211928,12500,2283938,290
13224432,12504,2283163,290
13236932,12500,2283940,290
13249436,12504,2283920,290
13261936,12500,2283312,290
13274440,12504,2283628,290
13286940,12500,2284520,290
13299440,12500,2283649,290
13311940,12500,2282046,290
13324444,12504,2282953,290
13336944,12500,2285434,290
13349448,12504,2282185,290
13361952,12504,2281239,290
13374456,12504,2284193,290
13386956,12500,2286141,290
13399456,12500,2283967,290
13411956,12500,2281432,290
